kota_raw,kota,rumah_sakit,nomor_telpon,nama_dokter,spesialis_raw,spesialis_standar,subspesialis_raw,subspesialis_standar,non_spesialis_raw,sumber_data
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Asep Nugraha Hermawan, dr., SpS",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Nyeri,Subspesialis Saraf - Nyeri,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Cep Juli dr., Sp.S(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),CVD/Stroke,Subspesialis Saraf - CVD/Stroke,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Chandra Calista, dr., Sp.N",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Fungsi Luhur,Subspesialis Saraf - Fungsi Luhur,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Lisda A Dr., dr., Sp.S(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),CVD/Stroke,Subspesialis Saraf - CVD/Stroke,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Nushrotul Lailiyya dr., SpS(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Syaraf tepi dan otot,Subspesialis Saraf - Syaraf tepi dan otot,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Novi Fatni Muhafidzah, dr., Sp.N",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),"Onkologi, neuro trauma","Subspesialis Saraf - Onkologi, neuro trauma",-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Sobaryati, dr., SpS-KIC.,M.Kes(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Parkinson/gangguan gerak,Subspesialis Saraf - Parkinson/gangguan gerak,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Sofiati Dian dr., SpS(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Neoroinfeksi,Subspesialis Saraf - Neoroinfeksi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Suryani Gunadharma Dr., dr., SpS(K)., M.Kes",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Epilepsi,Subspesialis Saraf - Epilepsi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Uni Gamayani, Dr., dr., SpS(K)",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Pediatrik,Subspesialis Saraf - Pediatrik,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Yusuf Wibisono dr., Sp.S(K)., Sp.AK",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),Nyeri,Subspesialis Saraf - Nyeri,-,rshs_bandung_2_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Ignatius Letsoin, Sp.S.,M.Si.,Med.,FINS FINA",Spesialis Saraf Konsultan Neuro Intervensi,Spesialis Saraf (Sp.S),Spesialis Saraf Konsultan Neuro Intervensi,Subspesialis Saraf - Intervensi,-,provita_jayapura_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. wresty arief, sp.tht","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. muhammad ikhwan, sp.tht","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud johar baru,-,"dr. robert, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta barat,jakarta barat,rsud kembangan,-,"dr. steffi kurniawan, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta barat,jakarta barat,rsud kembangan,-,"dr. aditya leonardo t, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. anggri murtia,sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. riza rizaldi, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. stivina azrial, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. yuli doris memy, sp.tht-kl(k)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta selatan,jakarta selatan,rsud tebet,-,"dr. dina nurdiana, sp.tht-kl","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Agung Dinasti Permana,dr.,SpTHT-KL.,M.Kes.,FICS","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Onkologi bedah kepala leher,Superspesialis THT - Onkologi bedah kepala leher,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Arif Dermawan,dr.,SpTHT-KL(K).,M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Alergi,Superspesialis THT - Alergi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Lina Lasminingrum,dr.,SpTHT-KL(K).,M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Otologi,Superspesialis THT - Otologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Melati Sudiro,dr.,SpTHT-KL(K).,M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Alergi,Superspesialis THT - Alergi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Mochamad Adithya Prawiranata., Sp.T.H.T.K.L","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Laring Faring, Bronchoesofagologi","Superspesialis THT - Laring Faring, Bronchoesofagologi",-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Raden Ayu Hardianti S, Sp.T.H.T.K.L","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Bronchoesofagologi, Laring Faring","Superspesialis THT - Bronchoesofagologi, Laring Faring",-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Sally Mahdiani,dr.,SpTHT-KL.,M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Otologi,Superspesialis THT - Otologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Shinta Fitri Boesoirie Dr., dr., SpTHT(K)., M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Maksilofasial/otologi,Superspesialis THT - Maksilofasial/otologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Sinta Sari Ratunanda, dr., Sp.THT., KL., M.Kes","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Rhinologi Alergi dan Laring Faring,Superspesialis THT - Rhinologi Alergi dan Laring Faring,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Ifiq Budiyan Nazar dr., Sp.T.H.T.B.K.l","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Onkologi bedah kepala leher,Superspesialis THT - Onkologi bedah kepala leher,-,rshs_bandung_2_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,dr. Rosmini Sp.THT-KL,Spesialis THT,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Spesialis THT,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Agustina Petronella Kayunop, Sp.THT-KL",Spesialis THT,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",Spesialis THT,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Bacilius Agung Priyosantoso, Sp.U",Spesialis Urologi,Spesialis Urologi (SpU),Spesialis Urologi,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Nickanor K.R. Wonatorey, Sp.U",Spesialis Urologi,Spesialis Urologi (SpU),Spesialis Urologi,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Rony Parlindungan Sinaga, Sp.N, FINA",Sub Spesialis Neurologi,Spesialis Saraf (Sp.S),Sub Spesialis Neurologi,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Victor Paulus Manuhutu, Sp.P (K) Onk T, FAPSR,FISR",Sub Spesialis Onkologi Toraks,Spesialis Penyakit Paru (Sp.P),Sub Spesialis Onkologi Toraks,Subspesialis Paru - Onkologi Toraks,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Astuti Tamher, Sp.Rad (K)TR",Sub Spesialis Radiologi Toraks,Spesialis Radiologi (Sp.Rad),Sub Spesialis Radiologi Toraks,Subspesialis Radiologi - Toraks,-,provita_jayapura_csv
jakarta selatan,jakarta selatan,rsud jagakarsa,-,adhi hermawan saputro,syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. teuku reyhan g, sp.s",syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. daynuri, sp.n",syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. lenny naulitha, sp.n",syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. gusfiatra, sp.s",syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. wiwit ida chahyani, sp.s",syaraf,Spesialis Saraf (Sp.S),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud johar baru,-,dr. inda hapsari,tb hiv,Dokter Umum,-,-,TB HIV,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud johar baru,-,dr. marfuatus saadah,tb hiv,Dokter Umum,-,-,TB HIV,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud johar baru,-,dr. rebbeka aritonang,tb hiv,Dokter Umum,-,-,TB HIV,rsud_gofar_tes_csv
jakarta selatan,jakarta selatan,rsud jagakarsa,-,putri mulyati,telinga hidung tenggorok- bedah kepala leher (tht-kl),"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,rsud_gofar_tes_csv
jakarta selatan,jakarta selatan,rsud tebet,-,"dr. safaruddin, mars",umum,Dokter Umum,-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,dr. djon dedi,vct,Dokter Umum,-,-,VCT,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. anggilia stephanie, sp.pd",vct,Spesialis Penyakit Dalam (Sp.PD),-,-,VCT,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. barry anggara putra, sp.pd",vct,Spesialis Penyakit Dalam (Sp.PD),-,-,VCT,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. djati sagoro, sp.pd",vct,Spesialis Penyakit Dalam (Sp.PD),-,-,VCT,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. nuniek e. nugrahini, sp.pd",vct,Spesialis Penyakit Dalam (Sp.PD),-,-,VCT,rsud_gofar_tes_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Abadi Aman, Sp.OG",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Abd. Malik Yusuf, Sp. BU",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),SUB SPESIALIS BEDAH,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Agus Japari, Sp. KJ",Spesialis Kesehatan Jiwa (Sp.KJ),Spesialis Psikiatri (SpKJ),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Agus Parintik Sambo, Sp.PD-KEMD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Almeida Handayani, Sp.B",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Andi Rukmini Madangkang, Sp.M",Spesialis Mata (Sp.M),Spesialis Mata (Sp.M),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Andry Adysaputra Sutjianto, Sp.B., FICS",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),SUB SPESIALIS BEDAH,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Anshory Sahlan, Sp.KFR (K)",Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Ardiyanto, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Arief Limardjo, M.Kes., Sp.THT-KL","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Arman Mikael Singara, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Boy Arfandy, Sp.THT-KL (K)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. David Thehumury, Sp.A",Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Deasy Christina Halik, Sp.PA",Spesialis Patologi Anatomi (Sp.PA),Spesialis Patologi Anatomi (Sp.PA),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Dessy Natalia, Sp.KJ",Spesialis Kesehatan Jiwa (Sp.KJ),Spesialis Psikiatri (SpKJ),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Dirmawati Kadir, Sp. DV., FINSDV., FAADV",Spesialis Kesehatan Jiwa (Sp.KJ),Spesialis Psikiatri (SpKJ),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Effendy Hartungi, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Erwiani Sutono, Sp.KJ",Spesialis Kesehatan Jiwa (Sp.KJ),Spesialis Psikiatri (SpKJ),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Fanny Alie, Sp.S",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Haizah Nurdin, Sp.An-KIC",Spesialis Anestesiologi (Sp.An-TI),Spesialis Anestesiologi (Sp.An-TI),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Handoko Tjandrasusilo, Sp.P",Spesialis Penyakit Paru (Sp.P),Spesialis Penyakit Paru (Sp.P),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Helena Kendengan, Sp.KK",Spesialis Kulit dan Kelamin (Sp.KK),Spesialis Kulit dan Kelamin (Sp.KK),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Hendrikus Budiono, Sp.S",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Herbert Yurianto, M.Kes., Sp.OT (K), AIFO-K",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),SUB SPESIALIS BEDAH,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. I Wayan Suntana, Sp.Rad",Spesialis Radiologi (Sp.Rad),Spesialis Radiologi (Sp.Rad),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Indah Hamriani, M.Kes., Sp.THT-KL","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Inge Jiemesha, SP.KFR",Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Ivan Valentino Soemiady, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. James Johanes Edenton, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Jimmy Gunardi Tanzil, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. John Sammy Leids Alfawin Pieter, Sp. B (K) Onk",Spesialis Bedah Onkologi (Sp.B.Onk),Spesialis Bedah (Sp.B),"BEDAH UMUM, SUB SPESIALIS BEDAH",-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Josephine L.T., Sp.OG (K)",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),"KEBIDANAN / KANDUNGAN, SUB SPESIALIS INTERNA",-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Juliana Charlotte Maria Abadi, Sp.S",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Kipsanang Akemah, Sp. B, FINACS., FICS",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),"BEDAH UMUM, SUB SPESIALIS BEDAH",-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Louis Kwandou, Sp. N (K)",Spesialis Kesehatan Jiwa (Sp.KJ),Spesialis Psikiatri (SpKJ),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Lucia Leonie Levita Stephanie, Sp.OG",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Madonna Damayanthie Datu, Sp.An",Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Maikel Triyudi Tappang, Sp.BTKV., M.ked.Klin",Spesialis Bedah Thoraks Kardiovaskular (Sp.BTKV),Spesialis Bedah Thoraxs Kardiovaskular (Sp.BTKV),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Marie Adam, Sp.M",Spesialis Mata (Sp.M),Spesialis Mata (Sp.M),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Marlene Adriani Sutanto, Sp.A",Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Melda Tessy, Sp.PD-KGH",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Melissa Heidy Wongsari, Sp.PK",Spesialis Patologi Klinik (Sp.PK),Spesialis Patologi Klinik (Sp.PK),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Mimi Lotisna, Sp.S",Spesialis Saraf (Sp.S),Spesialis Saraf (Sp.S),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Nellie Rasjid, M.Kes., Sp.A",Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Pendrik Tandean, Sp. PD., KKV., FINASIM",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Pither Sandy Tulak, Sp.P",Spesialis Penyakit Paru (Sp.P),Spesialis Penyakit Paru (Sp.P),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Poppy S. Pakasi., Sp. OG",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Rahasiah Taufik, Sp. M (K)",Spesialis Mata (Sp.M),Spesialis Mata (Sp.M),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Rahmawati Minhajat, PhD, Sp.PD., KHOM",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Ricky Saunders, Sp.A",Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Rina Tjandrasusilo, Sp.PD",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Robert Widiantono, Sp. THT-KL","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)","Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Ronald E Lusikoy, Sp.B – KBD",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),"BEDAH UMUM, SUB SPESIALIS BEDAH",-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Ruland DN. Pakasi, Sp. PK (K)",Spesialis Patologi Klinik (Sp.PK),Spesialis Patologi Klinik (Sp.PK),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Sofian Muhadji, Sp.OG",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Sulaihi, Sp. B – KBD",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),SUB SPESIALIS BEDAH,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Sulina Yanti Wibawa, Sp.PK",Spesialis Patologi Klinik (Sp.PK),Spesialis Patologi Klinik (Sp.PK),-,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Susanto Hendra Kusuma, Sp.PD., K-GEH., FINASIM",Spesialis Penyakit Dalam (Sp.PD),Spesialis Penyakit Dalam (Sp.PD),SUB SPESIALIS INTERNA,-,-,stella_maris_makassar_csv
Makassar,Makassar,RS Stella Maris,-,"dr. Suzanna Josina Margaretha Siegers, Sp.OG",Spesialis Obstetri dan Ginekologi (Sp.OG),Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,stella_maris_makassar_csv
